,county_fip,ZIP
926,36059,11010
927,36059,11020
928,36059,11021
929,36059,11022
930,36059,11023
931,36059,11024
932,36059,11030
933,36059,11040
934,36059,11042
935,36059,11050
936,36059,11096
937,36059,11422
938,36059,11501
939,36059,11507
940,36059,11509
941,36059,11510
942,36059,11514
943,36059,11516
944,36059,11518
945,36059,11520
946,36059,11530
947,36059,11531
948,36059,11542
949,36059,11545
950,36059,11547
951,36059,11548
952,36059,11549
953,36059,11550
954,36059,11551
955,36059,11552
956,36059,11553
957,36059,11554
958,36059,11556
959,36059,11557
960,36059,11558
961,36059,11559
962,36059,11560
963,36059,11561
964,36059,11563
965,36059,11565
966,36059,11566
967,36059,11568
968,36059,11569
969,36059,11570
970,36059,11571
971,36059,11572
972,36059,11575
973,36059,11576
974,36059,11577
975,36059,11579
976,36059,11580
977,36059,11581
978,36059,11582
979,36059,11590
980,36059,11596
981,36059,11598
982,36059,11599
983,36059,11691
984,36059,11701
985,36059,11709
986,36059,11710
987,36059,11714
988,36059,11724
989,36059,11732
990,36059,11735
991,36059,11743
992,36059,11753
993,36059,11756
994,36059,11758
995,36059,11762
996,36059,11765
997,36059,11771
998,36059,11773
999,36059,11783
1000,36059,11791
1001,36059,11793
1002,36059,11797
1003,36059,11801
1004,36059,11802
1005,36059,11803
1006,36059,11804
1007,36059,11815
1008,36061,10001
1009,36061,10002
1010,36061,10003
1011,36061,10004
1012,36061,10005
1013,36061,10006
1014,36061,10007
1015,36061,10008
1016,36061,10009
1017,36061,10010
1018,36061,10011
1019,36061,10012
1020,36061,10013
1021,36061,10014
1022,36061,10016
1023,36061,10017
1024,36061,10018
1025,36061,10019
1026,36061,10020
1027,36061,10021
1028,36061,10022
1029,36061,10023
1030,36061,10024
1031,36061,10025
1032,36061,10026
1033,36061,10027
1034,36061,10028
1035,36061,10029
1036,36061,10030
1037,36061,10031
1038,36061,10032
1039,36061,10033
1040,36061,10034
1041,36061,10035
1042,36061,10036
1043,36061,10037
1044,36061,10038
1045,36061,10039
1046,36061,10040
1047,36061,10041
1048,36061,10043
1049,36061,10044
1050,36061,10045
1051,36061,10055
1052,36061,10065
1053,36061,10069
1054,36061,10075
1055,36061,10080
1056,36061,10081
1057,36061,10101
1058,36061,10103
1059,36061,10104
1060,36061,10105
1061,36061,10106
1062,36061,10107
1063,36061,10108
1064,36061,10110
1065,36061,10111
1066,36061,10112
1067,36061,10113
1068,36061,10115
1069,36061,10116
1070,36061,10117
1071,36061,10118
1072,36061,10119
1073,36061,10120
1074,36061,10121
1075,36061,10122
1076,36061,10123
1077,36061,10124
1078,36061,10125
1079,36061,10126
1080,36061,10128
1081,36061,10129
1082,36061,10130
1083,36061,10131
1084,36061,10133
1085,36061,10138
1086,36061,10150
1087,36061,10151
1088,36061,10152
1089,36061,10153
1090,36061,10154
1091,36061,10155
1092,36061,10156
1093,36061,10157
1094,36061,10158
1095,36061,10159
1096,36061,10160
1097,36061,10162
1098,36061,10163
1099,36061,10164
1100,36061,10165
1101,36061,10166
1102,36061,10167
1103,36061,10168
1104,36061,10169
1105,36061,10170
1106,36061,10171
1107,36061,10172
1108,36061,10173
1109,36061,10174
1110,36061,10175
1111,36061,10176
1112,36061,10177
1113,36061,10178
1114,36061,10179
1115,36061,10185
1116,36061,10199
1117,36061,10203
1118,36061,10211
1119,36061,10212
1120,36061,10213
1121,36061,10258
1122,36061,10268
1123,36061,10269
1124,36061,10271
1125,36061,10272
1126,36061,10274
1127,36061,10275
1128,36061,10276
1129,36061,10277
1130,36061,10278
1131,36061,10279
1132,36061,10280
1133,36061,10281
1134,36061,10282
1135,36061,10285
1136,36061,10463
1137,36061,11201
1138,36071,10910
1139,36071,10912
1140,36071,10914
1141,36071,10915
1142,36071,10916
1143,36071,10917
1144,36071,10918
1145,36071,10919
1146,36071,10921
1147,36071,10922
1148,36071,10924
1149,36071,10925
1150,36071,10926
1151,36071,10928
1152,36071,10930
1153,36071,10932
1154,36071,10933
1155,36071,10940
1156,36071,10941
1157,36071,10949
1158,36071,10950
1159,36071,10953
1160,36071,10958
1161,36071,10959
1162,36071,10963
1163,36071,10969
1164,36071,10973
1165,36071,10975
1166,36071,10979
1167,36071,10981
1168,36071,10985
1169,36071,10987
1170,36071,10988
1171,36071,10990
1172,36071,10992
1173,36071,10996
1174,36071,10998
1175,36071,12518
1176,36071,12520
1177,36071,12542
1178,36071,12543
1179,36071,12549
1180,36071,12550
1181,36071,12551
1182,36071,12552
1183,36071,12553
1184,36071,12555
1185,36071,12566
1186,36071,12575
1187,36071,12577
1188,36071,12584
1189,36071,12586
1190,36071,12589
1191,36071,12721
1192,36071,12729
